Item Name,Price
ORANGE JUICE,285.71
Iced Latte (350 ML),214.29
ALMOND MILK (200 ML),85.71
Chicken Calzone,66.67
Coconut Nankhatai (with Egg),285.71
Iced Americano (350 ML),176.19
Add On Syrup (Add On Vanilla Syrup),47.62
Calzones Veg (Calzone Paneer),66.67
Cafe Latte (350 ML),238.1
Add On Syrup (Add On Caramel Syrup),47.62
Iced Mocha (350 ML),271.43
Classic Frappe (350 ML),271.43
Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),76.19
Strawberry White Chocolate Ganache With Rosella Jam Macaroon,76.19
Double Restritto 44 Ml,157.14
Iced Americano (450 Ml),288.75
Origanal South Indian Frappe (350 ML),290.48
Hot Chocolate (250 ML),266.67
Mix Berliner 2 Pcs (Lotus Biscoff Berliner),61.9
Mix Berliner 2 Pcs (Nutella Berliner),61.9
Baked Vada Pav,76.19
Cappucino (250 ML),214.29
Almond Honey Latte (250 ML),271.43
Nariyal Irish Cream Frappe (350 ML),290.48
South Indian Filter Kaapi (150 ML),133.33
Hazelnut Frappe (350 ML),290.48
Pappa Roti (Plain),166.67
Berliners (Dark Choco Mousse Berliner),85.71
Berliners (Lotus Biscoff Berliner),85.71
Cafe Latte (250 ML),214.29
Tartlets (Salted Caramel Tartlet),47.62
Iced Latte (450 ML),238.1
Berliners (Nutella Berliner),66.67
Cappucino (350 ML),238.1
French Press,247.62
Vietnamese (350 ML),290.48
Calzones Veg (Calzone Veg),66.67
Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner),61.9
Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),61.9
Madagascar Chocochip Frappe (350 ML),319.05
Papparoti (Add On Nutella sauce),233.33
Hyderabadi Chicken Keema Pav,76.19
Strawbery Rosella Frangipani Tart,47.62
Papparoti (Plain),166.67
OAT MILK (200 ML),71.43
Baked Pav Bhaji,76.19
Classic Frappe (450 ML),304.76
Caramel Frappe (350 ML),304.76
Yellow Banana Chips 60 Gm,84.0
Madagascar Chocochip Frappe (350 Ml),456.75
Flat White 250 Ml,240.0
Choco-crinkle-cookies (COMBO 3 PCS),66.67
Americano (250 ML),176.19
Calzone Mix 3 Pc (Calzone Paneer),57.14
Pappa Roti (Add On Nutella sauce),233.33
Cafe Mocha (250 ML),223.81
Bon Bon (350 ML),290.48
Madagascar Hot Chocolate (250 ML),285.71
Origanal South Indian Frappe (450 ML),433.33
Nariyal Irish Cream Frappe (350 Ml),414.75
Sea Salt Dark Mocha (250 ML),261.9
Sea Salt Dark Mocha Frappe (450 ML),371.43
Kaapicino (250 ML),204.76
Berliner Mix 3 Pcs (Nutella Berliner),57.14
Berliner Mix 3 Pcs (Dark Choco Mousse Berliner),57.14
Rosella Cheesecake Berliner,76.19
Tartlets (chocolate Tartlet),47.62
Add On Syrup (Add On Irish Syrup),47.62
Cafe Mocha (350 ML),261.9
Cold Brew,315.0
Almond Frappe (350 ML),290.48
Vietnamese (450 ML),347.62
South Indian Filter Kaapi (250 ML),180.95
Aeropress,247.62
Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),142.86
Nariyal Irish Cream Frappe (450 ML),433.33
Pour Over,247.62
Sea Salt Dark Mocha Frappe (350 ML),333.33
Americano (350 ML),209.52
Iced Americano (450 ML),209.52
Plain Nankhatai Veg,285.71
White Loaf Bread,104.76
South Indian Filter Kaapi (250 Ml),252.0
Hot Chocolate (250 Ml),367.5
Hyderabadi Soya Keema Pav,76.19
Berliner Mix 3 Pcs (Lotus Biscoff Berliner),57.14
Mix Tartlet 6 Pcs (chocolate Tartlet),38.1
Mix Tartlet 6 Pcs (salted Caramel tartlet),38.1
Mix Tartlet 6 Pcs (kodai cheese tartlet),38.1
Madagascar Chocochip Frappe (450 ML),357.14
Kaapicino (350 ML),228.57
Tartlets (Filter Kaapi Tartlet),47.62
Hazelnut Frappe (450 ML),333.33
Berliners (Blueberry Cheese Cake Berliner),66.67
Sea Salt Dark Mocha (350 ML),285.71
